"","affy_hg_u133_plus_2","hgnc_symbol"
"200","1557717_at","LINC00550"
"201","1554921_a_at","SCEL"
"202","1554920_at","SCEL"
"203","1557112_a_at","VPS53"
"204","1559109_a_at","VPS53"
"205","1559108_at","VPS53"
"206","1553633_s_at","SLC9B1P4"
"207","1555935_s_at","HUNK"
"208","1555125_at","PAXBP1"
"209","1553846_at","CBY2"
"210","1553847_a_at","CBY2"
"211","1552467_at","DSCR10"
"212","1552468_a_at","DSCR10"
"213","1557279_at","ITSN1"
"214","1557280_s_at","ITSN1"
"215","1553432_s_at",""
"216","1559534_at","MRNIP-DT"
"217","1559535_s_at","MRNIP-DT"
"218","1557470_at","SPATA13"
"219","1554428_s_at","NLGN2"
"220","1552998_at","DEFB125"
"221","1554942_a_at","KLHL14"
"222","1554941_at","KLHL14"
"223","1553340_s_at","SLC35G6"
"224","1554423_a_at","FBXO7"
"225","1553440_at","AQP4-AS1"
"226","1556888_at",""
"227","1556889_s_at",""
"228","1557483_at",""
"229","1556784_at",""
"230","1552484_at","SMCR8"
"231","1557986_s_at","SMCR8"
"232","1557383_a_at",""
"233","1553673_at","STK35"
"234","1554339_a_at","COG3"
"235","1558142_at","TNRC6B"
"236","1553519_at","LINC00314"
"237","1555632_at","PIK3IP1"
"238","1553608_a_at","BACH1"
"239","1552401_a_at","BACH1"
"240","1556019_at","GPR180"
"241","1556021_at","GPR180"
"242","1555039_a_at","ABCC4"
"243","1554918_a_at","ABCC4"
"244","1554305_at","LIF-AS2"
"245","1552394_a_at","ENTHD1"
"246","1552393_at","ENTHD1"
"247","1553686_at","C18orf25"
"248","1554767_s_at","CRYZL1"
"249","1552347_at","CRYZL1"
"250","1555202_a_at","RPRD1A"
"251","1554741_s_at","FGF7P2"
"252","1558636_s_at","ADAMTS5"
"253","1554692_at","SLC23A2"
"254","1553282_at","UMODL1-AS1"
"255","1553558_at","TAS2R41"
"256","1552307_a_at","TTC39C"
"257","1555522_s_at","MEMO1P1"
"258","1556941_a_at",""
"259","1556940_at",""
"260","1557545_s_at","RNF165"
"261","1556477_a_at","LINC03032"
"262","1556476_at","LINC03032"
"263","1556502_at",""
"264","1552415_a_at","WFDC9"
"265","1552414_at","WFDC9"
"266","1558080_s_at","DNAJC3"
"267","1553087_at","ZBTB7C-AS2"
"268","1553722_s_at","RNF152"
"269","1553721_at","RNF152"
"270","1557079_at",""
"271","1557080_s_at",""
"272","1555638_a_at","SAMSN1"
"273","1555162_at","PRR5-ARHGAP8"
"274","1556921_at","PTPRT-AS1"
"275","1559021_at","C3orf52"
"276","1554432_x_at","SMIM11"
"277","1554430_at","SMIM11"
"278","1557900_at","SIM2"
"279","1557720_s_at","MYO16"
"280","1556220_at","TBILA"
"281","1556221_a_at","TBILA"
"282","1554155_at","MCPH1"
"283","1557347_at","MCPH1"
"284","1556531_at",""
"285","1559678_s_at",""
"286","1552608_at","WFDC11"
"287","1552332_at","TRIOBP"
"288","1552334_at","TRIOBP"
"289","1552411_at","DEFB106A"
"290","1552412_a_at","DEFB106A"
"291","1553521_at","DEFB104A"
"292","1554857_at","ELMO2"
"293","1553582_a_at","SPAG11A"
"294","1553131_a_at","GATA4"
"295","1559079_at","LINC00567"
"296","1552257_a_at","TTLL12"
"297","1558938_at","PSME1"
"298","1557085_at","OOSP2"
"299","1554949_at",""
"300","1554892_a_at","MS4A3"
"301","1553794_at","STOML3"
"302","1555446_s_at","TRAPPC10"
"303","1552448_a_at","FAM167A-AS1"
"304","1555151_s_at","TDH"
"305","1553493_a_at","TDH"
"306","1553494_at","TDH"
"307","1553340_s_at","SLC35G5"
"308","1552563_a_at",""
"309","1554163_at","TWIST2"
"310","1552690_a_at","CACNA2D4"
"311","1558938_at",""
"312","1556580_a_at",""
"313","1558139_at",""
"314","1556406_at","LINC00879"
"315","1556046_a_at","MIR124-1HG"
"316","1554045_at","ZNF24"
"317","1554086_at","TUBGCP3"
"318","1554700_at","CDH7"
"319","1552670_a_at","PPP1R3B"
"320","1552872_at","ASMTL-AS1"
"321","1553002_at",""
"322","1557404_at",""
"323","1557215_at","LINC00648"
"324","1558990_at",""
"325","1552822_at","TMX3"
"326","1558530_at","LRTM2"
"327","1558477_at",""
"328","1553801_a_at","DTD2"
"329","1553461_at","FAM9B"
"330","1555538_s_at","FAM9B"
"331","1553972_a_at","CBS"
"332","1558890_at",""
"333","1557193_at","PTPN2"
"334","1554689_a_at","NLGN4X"
"335","1554768_a_at","MAD2L1P1"
"336","1553067_a_at","GNRHR2P1"
"337","1556711_at","FAM216B"
"338","1558930_at","LINC00460"
"339","1555133_at","FAM9A"
"340","1556102_x_at",""
"341","1558045_a_at",""
"342","1558046_x_at",""
"343","1558568_a_at","PCNX4"
"344","1555166_a_at","ZNF396"
"345","1554231_a_at","ZNF396"
"346","1552825_at","ZNF396"
"347","1554985_at","ZNF396"
"348","1553044_at","GJA10"
"349","1554085_at","DDX51"
"350","1553842_at","BEND2"
"351","1555403_a_at","CDH19"
"352","1553873_at","KLHL34"
"353","1556578_a_at",""
"354","1558849_at","LINC00683"
"355","1558850_s_at","LINC00683"
"356","1554607_at","CNKSR2"
"357","1553633_s_at","SLC9B1P3"
"358","1555141_a_at","SLC9B1P3"
"359","1554507_at","NAALAD2"
"360","1554504_at","NAALAD2"
"361","1554506_x_at","NAALAD2"
"362","1556288_at","SMIM21"
"363","1558990_at","C18orf21"
"364","1556222_at","SEPTIN7P9"
"365","1555460_a_at","SLC39A6"
"366","1556551_s_at","SLC39A6"
"367","1555953_at","SLC19A1"
"368","1555952_at","SLC19A1"
"369","1557094_at",""
"370","1557845_at",""
"371","1555822_at","FAM138E"
"372","1554657_a_at","CFAP61"
"373","1557588_at","LINC01310"
"374","1556909_at","LINC01898"
"375","1556661_at","GTSE1-DT"
"376","1553474_at","POTEB2"
"377","1554544_a_at","MBP"
"378","1553945_at","GPHB5"
"379","1553033_at","SYTL5"
"380","1553239_at","FAM124A"
"381","1553474_at","POTEB"
"382","1555740_a_at","MRAP"
"383","1554044_a_at","MRAP"
"384","1555741_at","MRAP"
"385","1556739_at",""
"386","1557465_at","TMEM272"
"387","1553346_a_at","TNRC6A"
"388","1553761_at","PRR14L"
"389","1558097_at","PRR14L"
"390","1555234_a_at","RHOJ"
"391","1555233_at","RHOJ"
"392","1552792_at","SOCS4"
"393","1555304_a_at","KCNH5"
"394","1555074_a_at","KCNH5"
"395","1555390_at","NOP9"
"396","1553614_a_at","LINC01198"
"397","1554702_at","NALCN"
"398","1553227_s_at","BRWD1"
"399","1557892_at","LINC01056"
"400","1557893_a_at","LINC01056"
"401","1558847_at","SWINGN"
"402","1554863_s_at","DOK5"
"403","1554604_at","MBTPS2"
"404","1552676_at","UCN3"
"405","1555832_s_at","KLF6"
"406","1557522_x_at","BLCAP"
"407","1556867_at","BLCAP"
"408","1557521_a_at","BLCAP"
"409","1555448_at","AP5M1"
"410","1554650_a_at",""
"411","1554649_at",""
"412","1553300_a_at","DGKH"
"413","1555231_a_at","B3GALT5-AS1"
"414","1553850_at","B3GALT5-AS1"
"415","1558660_at","LINC00703"
"416","1555357_at","DDX53"
"417","1553918_at","LINC00479"
"418","1552848_a_at","PTCHD1"
"419","1554930_a_at","FUT8"
"420","1555366_at",""
"421","1552675_at","DNAJB7"
"422","1556377_s_at",""
"423","1556304_s_at","LINC00899"
"424","1552846_s_at","RAB42P1"
"425","1553905_at","CFAP47"
"426","1553466_at","CFAP47"
"427","1554691_a_at","PACSIN2"
"428","1553518_at","DEFT1P2"
"429","1553243_at","ITIH5"
"430","1552736_a_at","NETO1"
"431","1552904_at","NETO1"
"432","1558903_at","LINC00907"
"433","1552671_a_at","SLC9A7"
"434","1558105_a_at","SLC9A7"
"435","1557825_at","MSRA-DT"
"436","1552971_at","SGCZ"
"437","1553457_at","LINC00269"
"438","1552344_s_at","CNOT7"
"439","1555708_a_at","OFCC1"
"440","1553075_a_at","OFCC1"
"441","1553076_at","OFCC1"
"442","1554509_a_at","MINDY3"
"443","1553304_at","LSM14B"
"444","1553178_a_at","SSTR3"
"445","1558858_at","LNC-LBCS"
"446","1554101_a_at","TMTC4"
"447","1554102_a_at","TMTC4"
"448","1320_at","PTPN21"
"449","1553150_at","KDM1B"
"450","1556356_at","ERICH1"
"451","1556357_s_at","ERICH1"
"452","1555209_at","USP6NL-AS1"
"453","1553845_x_at","C10orf67"
"454","1553844_a_at","C10orf67"
"455","1553843_at","C10orf67"
"456","1556492_a_at","PIAS2"
"457","1555514_a_at","PIAS2"
"458","1555513_at","PIAS2"
"459","1555786_s_at","LINC00520"
"460","1555004_a_at","RBL1"
"461","1559307_s_at","RBL1"
"462","1555003_at","RBL1"
"463","1554210_at","ZCCHC13"
"464","1553111_a_at","KBTBD6"
"465","1554026_a_at","MYO10"
"466","1555450_a_at","NAA16"
"467","1557618_at","LINC01622"
"468","1556555_at",""
"469","1556004_at",""
"470","1556003_a_at",""
"471","1557756_a_at","CEP128"
"472","1557755_at","CEP128"
"473","1556500_a_at",""
"474","1553126_a_at","SLC39A12"
"475","1554486_a_at","GFOD1"
"476","1557647_a_at","VWA8-AS1"
"477","1557646_at","VWA8-AS1"
"478","1556808_at","RAP2A"
"479","1556809_a_at","RAP2A"
"480","1557763_at","LPAR6"
"481","1557176_a_at","ARMH4"
"482","1552264_a_at","MAPK1"
"483","1552263_at","MAPK1"
"484","1556835_s_at","DSG2-AS1"
"485","1556834_at","DSG2-AS1"
"486","1558249_s_at","STX16"
"487","1552422_at","ZNF22-AS1"
"488","1559006_at","NUP155"
"489","1559007_s_at","NUP155"
"490","1554579_a_at","MYO18B"
"491","1556874_a_at","MEX3C"
"492","1556873_at","MEX3C"
"493","1553326_at","RXFP2"
"494","1557208_at","PROSER2-AS1"
"495","1553646_at","HDX"
"496","1555904_at","FRY"
"497","1555167_s_at","NAMPTP1"
"498","1558494_at",""
"499","1554627_a_at","ASCC1"
"500","1552716_at","SPEF2"
"501","1559665_at","LINC02318"
"502","1553252_a_at","BRWD3"
"503","1552570_at","TSPEAR"
"504","1555048_a_at","TSPEAR"
"505","1555049_at","TSPEAR"
"506","1554953_a_at","TSPEAR-AS1"
"507","1558793_at","FRY-AS1"
"508","1554634_at","PDS5B"
"509","1554953_a_at","TSPEAR-AS2"
"510","1554954_at","TSPEAR-AS2"
"511","1556778_at",""
"512","1556779_s_at",""
"513","1557480_a_at","PPP1R27"
"514","1557053_s_at","UBE2G2"
"515","1559485_at","ATG2B"
"516","1552734_at","RICTOR"
"517","1555383_a_at","POF1B"
"518","1555382_at","POF1B"
"519","1553027_a_at","KLHL4"
"520","1557113_at","RPS6KA5"
"521","1554319_at","RPS6KA5"
"522","1553024_at","DAOA-AS1"
"523","1559254_at","PICSAR"
"524","1552877_s_at","LINC00334"
"525","1552876_at","LINC00334"
"526","1557633_at","POM121L15P"
"527","1553900_s_at","POM121L15P"
"528","1555546_a_at","POFUT2"
"529","1556047_s_at","MAGEE1"
"530","1555847_a_at","MIR23AHG"
"531","1552935_at","RTL3"
"532","1553734_at","AK7"
"533","1557657_a_at","LINC00642"
"534","1557656_at","LINC00642"
"535","1553832_at","LINC00315"
"536","1558372_at","ZDHHC2"
"537","1558373_s_at","ZDHHC2"
"538","1554279_a_at","TRMT2B"
"539","1557008_at","LINC02239"
"540","1557009_a_at","LINC02239"
"541","1558586_at","ZNF33B"
"542","1558541_at","TRMT9B"
"543","1557787_at","LINC02114"
"544","1557117_at","INTS6-AS1"
"545","1557118_a_at","INTS6-AS1"
"546","1559316_at","LINC02241"
"547","1557117_at","RPS4XP16"
"548","1553254_at","MAGEE2"
"549","1553831_at",""
"550","1552842_at","HS6ST3"
"551","1554755_a_at","MTUS2"
"552","1555396_s_at","EZHIP"
"553","1553403_at","RLN3"
"554","1553720_a_at","AMER2"
"555","1558412_at","MISP3"
"556","1553174_at","JPH2"
"557","1556994_at",""
"558","1554386_at","CST9"
"559","1553518_at","DEFT1P"
"560","1554624_a_at","SIRPB1"
"561","1557439_at","ARHGEF7-AS2"
"562","1552718_at","DTD1"
"563","1554577_a_at","PSMD10"
"564","1553613_s_at","FOXC1"
"565","1559117_at",""
"566","1557070_at","TFAP2A-AS1"
"567","1556072_at","LINC00528"
"568","1555127_at","MOCS1"
"569","1555358_a_at","ENTPD4"
"570","1556754_at","LINC00595"
"571","1556754_at","LINC00856"
"572","1553856_s_at","P2RY10"
"573","1554465_s_at","KRBOX4"
"574","1558801_at","NNT-AS1"
"575","1557098_s_at","HAR1A"
"576","1558378_a_at","AHNAK2"
"577","1553319_at","OXGR1"
"578","1553640_at","XKR6"
"579","1557436_at","XKR6"
"580","1556374_s_at",""
"581","1554099_a_at","SPIN3"
"582","1554098_at","SPIN3"
"583","1555882_at","SPIN3"
"584","1555883_s_at","SPIN3"
"585","1554264_at","CKAP2"
"586","1553474_at","POTED"
"587","1553183_at","UMODL1"
"588","1555662_s_at","DAOA"
"589","1555640_at","DAOA"
"590","1552938_at","ZIC5"
"591","1555676_s_at","GSX1"
"592","1552954_at","LINC02899"
"593","1555559_s_at","USP25"
"594","1557080_s_at","ITGBL1"
"595","1553114_a_at","PTK6"
"596","1555245_s_at","RP1L1"
"597","1557874_at","GRID1-AS1"
"598","1552818_a_at","BRS3"
"599","1556344_at","TIAM1-AS1"
"600","1553357_at","FGF13"
"601","1556722_a_at","C20orf203"
"602","1556722_a_at",""
"603","1552665_at","JMJD1C-AS1"
"604","1552882_a_at","AMER1"
"605","1556793_a_at","FAM83C"
"606","1557034_s_at","WASH5P"
"607","1555822_at","FAM138F"
"608","1554383_a_at","TRAM2"
"609","1553117_a_at","STK38"
"610","1559276_at","PCAT18"
"611","1553375_at","BTBD9"
"612","1559136_s_at",""
"613","1555445_at","CA8"
"614","1555561_a_at","UGGT2"
"615","1555560_at","UGGT2"
"616","1555688_s_at","SLA2"
"617","1556465_at",""
"618","1555268_a_at","GRID1"
"619","1559716_at","INO80C"
"620","1556962_at","ONECUT3"
"621","1555578_at","PTPRM"
"622","1555579_s_at","PTPRM"
"623","1552564_at","NUDT9P1"
"624","1556026_at","EOLA1-DT"
"625","1559136_s_at","EOLA1-DT"
"626","1555568_at",""
"627","1559229_at",""
"628","1553813_s_at","TLE6"
"629","1553812_at","TLE6"
"630","1553003_at","PKHD1"
"631","1557540_at",""
"632","1554699_at","L3MBTL4"
"633","1559270_at","ZFHX4"
"634","1554132_a_at","CCSER2"
"635","1554131_at","CCSER2"
"636","1557615_a_at","ARHGAP19-SLIT1"
"637","1557857_a_at",""
"638","1557856_at",""
"639","1552993_at","DYDC1"
"640","1555958_at","CRTAC1"
"641","1553141_at","LACC1"
"642","1553142_at","LACC1"
"643","1556266_a_at",""
"644","1556265_at",""
"645","1559653_at","GRTP1-AS1"
"646","1559654_s_at","GRTP1-AS1"
"647","1553789_a_at","C21orf58"
"648","1555198_x_at","C21orf58"
"649","1555197_a_at","C21orf58"
"650","1559439_s_at","C21orf58"
"651","1559438_at","C21orf58"
"652","1559034_at","SIRPB2"
"653","1553961_s_at","SNX21"
"654","1553960_at","SNX21"
"655","1554508_at","PIK3AP1"
"656","1556114_a_at","ADPRHL1"
"657","1556113_at","ADPRHL1"
"658","1553163_at","ADPRHL1"
"659","1552677_a_at","DIP2A"
"660","1554969_x_at","DIP2A"
"661","1554967_at","DIP2A"
"662","1555301_a_at","DIP2A"
"663","1556127_at","DIP2A"
"664","1554571_at","APBB1IP"
"665","1556899_at","PRMT5-AS1"
"666","1556149_at","ARVCF"
"667","1557370_s_at","MYCBP2"
"668","1552768_at","CAMKK1"
"669","1558279_a_at","KDSR"
"670","1555196_at","LINC00421"
"671","1487_at","ESRRAP1"
"672","1554884_at","PRIM2"
"673","1554885_a_at","PRIM2"
"674","1555243_x_at","RBIS"
"675","1555241_at","RBIS"
"676","1552557_a_at","ZDHHC15"
"677","1553006_at","ADGRG4"
"678","1553614_a_at",""
"679","1555551_at","SERPINB5"
"680","1554686_at","STAU2"
"681","1559369_at","TRAPPC13"
"682","1556377_s_at","LMO7"
"683","1555400_at","MIR4280HG"
"684","1554032_at","ARSB"
"685","1554030_at","ARSB"
"686","1553764_a_at","AJUBA"
"687","1559258_a_at","CT83"
"688","1554604_at",""
"689","1553435_at","C18orf15"
"690","1553264_a_at","SYN1"
"691","1552538_a_at","KIF6"
"692","1556232_at","KIF6"
"693","1556233_s_at","KIF6"
"694","1556325_at","FILIP1"
"695","1556190_s_at","LINC02984"
"696","1556740_at","EGFLAM-AS2"
"697","1553977_a_at","CYP39A1"
"698","1554172_a_at","ZMYM3"
"699","1554171_at","ZMYM3"
"700","1555976_s_at",""
"701","1555978_s_at","MYL12A"
"702","1555976_s_at","MYL12A"
"703","1555977_at","MYL12A"
"704","1554286_at",""
"705","1555893_at","WWP1-AS1"
"706","1558440_at",""
"707","1553009_s_at","REXO1L1P"
"708","1555132_at",""
"709","1556333_at",""
"710","1556334_s_at",""
"711","1559073_at","KDM4B"
"712","1553060_at","PSKH2"
"713","1555250_a_at","CPEB3"
"714","1554206_at","TMLHE"
"715","1555349_a_at","ITGB2"
"716","1558354_s_at","PLCG1-AS1"
"717","1554321_a_at","NFS1"
"718","1557263_s_at","AP1G2-AS1"
"719","1557262_at","AP1G2-AS1"
"720","1553139_s_at","PLXNA3"
"721","1558775_s_at","NSMAF"
"722","1552528_at","LINC01547"
"723","1555627_s_at","LINC01547"
"724","1555393_s_at","LINC01547"
"725","1556410_a_at","KRTAP19-1"
"726","1552607_at","FAM223A"
"727","1557910_at","HSP90AB1"
"728","1554584_at","DRC3"
"729","1557915_s_at","GSTO1"
"730","1558673_s_at","ZNF77"
"731","1554008_at","OSMR"
"732","1553394_a_at","TFAP2B"
"733","1553020_at","SMCR5"
"734","1553101_a_at","ALKBH5"
"735","1554233_at","C1QTNF9"
"736","1559126_at","RRP12"
"737","1559127_x_at","RRP12"
"738","1557345_at","CPB2-AS1"
"739","1553972_a_at",""
"740","1556128_a_at","RASGRF2"
"741","1552791_a_at","TRDN"
"742","1554432_x_at",""
"743","1552944_a_at","PANX2"
"744","1559005_s_at","CNTLN"
"745","1556789_a_at","PAXBP1-AS1"
"746","1552390_a_at","ERICH5"
"747","1552389_at","ERICH5"
"748","1556421_at","C8orf34-AS1"
"749","1553199_at","DCAF4L2"
"750","1553197_at","DCAF4L2"
"751","1552830_at","FBXO39"
"752","1553872_at","NATD1"
"753","1555336_a_at","ITGA9"
"754","1555335_at","ITGA9"
"755","1554933_at","PSIP1"
"756","1553976_a_at","DPCD"
"757","1556496_a_at","YWHAZ"
"758","1557203_at","PABPC1L2B"
"759","1559412_at","MIR99AHG"
"760","1559521_at","MIR99AHG"
"761","1556935_at",""
"762","1553690_at","SGO1"
"763","1559689_a_at","GRAPLDR"
"764","1559688_at","GRAPLDR"
"765","1553112_s_at","CDK8"
"766","1553113_s_at","CDK8"
"767","1558011_at",""
"768","1557424_at","LINC02059"
"769","1559333_at","SRGAP3-AS2"
"770","1556340_at","MAPK12"
"771","1556341_s_at","MAPK12"
"772","1555463_a_at","CHD6"
"773","1558846_at","PNLIPRP3"
"774","1559672_a_at","CCDC171"
"775","1553433_at","CCDC171"
"776","1558082_at","CCDC171"
"777","1558160_at","CCDC171"
"778","1553089_a_at","WFDC2"
"779","1552261_at","WFDC2"
"780","1553974_at","C22orf39"
"781","1555264_a_at","LINC00598"
"782","1554927_at","LINC00598"
"783","1552396_at","HSPD1P21"
"784","1554208_at","MEI1"
"785","1552396_at","EPPIN"
"786","1553193_at","ZNF441"
"787","1553192_at","ZNF441"
"788","1553530_a_at","ITGB1P1"
"789","1553678_a_at","ITGB1P1"
"790","1559544_s_at","RB1-DT"
"791","1559543_at","RB1-DT"
"792","1557388_at","RTTN"
"793","1553277_at","RTTN"
"794","1557037_a_at","UBAC2-AS1"
"795","1557038_s_at","UBAC2-AS1"
"796","1558201_s_at","SLC4A1APP1"
"797","1553348_a_at","NFX1"
"798","1553103_at","NFX1"
"799","1557481_a_at","LINC00320"
"800","1552892_at","TNFRSF13C"
"801","1559126_at","RPL34P20"
"802","1559127_x_at","RPL34P20"
"803","1554547_at","FAM13C"
"804","1552747_a_at","PP2D1"
"805","1552514_at","WBP2NL"
"806","1555041_a_at","NAGA"
"807","1553037_a_at","SYN2"
"808","1553893_at","CCDC105"
"809","1559501_at","CBR3-AS1"
"810","1557544_at","CFAP58"
"811","1553268_at","RHBDL3"
"812","1556165_at","LINC02575"
"813","1556166_x_at","LINC02575"
"814","1557443_s_at","LINC02148"
"815","1557366_at","PRPSAP2"
"816","1552463_at","SERPINB11"
"817","1553316_at","GPR82"
"818","1553317_s_at","GPR82"
"819","1559322_at",""
"820","1559213_at","LINC01419"
"821","1554332_a_at","SLCO4A1-AS1"
"822","1555025_at","TMEM26"
"823","1559631_at","DMGDH"
"824","1554679_a_at","LAPTM4B"
"825","1558605_at","TTC5"
"826","1558606_s_at","TTC5"
"827","1553074_at","ASB11"
"828","1558605_at",""
"829","1558606_s_at",""
"830","1554212_s_at","KCNS2"
"831","1554680_s_at","KCNS2"
"832","1557807_a_at",""
"833","1554597_at","LIG3"
"834","1554599_x_at","LIG3"
